training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.817805		0.517695		0.318053		0.739052		0.021156		0.441431		0.792000		0.714000		0.776400
0.815282		0.517015		0.318714		0.739052		0.021157		0.441336		0.793600		0.714000		0.776400
0.815642		0.517787		0.319630		0.739052		0.020725		0.440692		0.794800		0.714000		0.774800
0.817264		0.519432		0.320143		0.739052		0.020048		0.440197		0.795600		0.714000		0.774400
0.816363		0.521533		0.320155		0.739052		0.019690		0.440908		0.797200		0.714000		0.774400
0.816003		0.521680		0.320182		0.739052		0.019386		0.440762		0.793600		0.714000		0.772400
0.814741		0.521238		0.320604		0.739052		0.019305		0.440726		0.793600		0.714000		0.773600
0.814021		0.520509		0.321847		0.739052		0.019252		0.440372		0.794400		0.714000		0.774400
0.814381		0.519478		0.324869		0.739052		0.019027		0.439702		0.797200		0.714000		0.775600
0.816183		0.518572		0.329726		0.739052		0.018783		0.439525		0.795600		0.714000		0.774800
0.816544		0.516991		0.325603		0.739232		0.019370		0.439004		0.791600		0.714000		0.774400
0.815102		0.515816		0.324492		0.739232		0.019632		0.438599		0.792800		0.714000		0.775600
0.815642		0.515519		0.327678		0.739232		0.019254		0.438078		0.794800		0.714000		0.776800
0.815462		0.515953		0.334254		0.739232		0.018411		0.437762		0.793600		0.714000		0.774400
0.816183		0.516455		0.321779		0.739232		0.019457		0.437679		0.793600		0.714000		0.774800
0.813300		0.516443		0.320837		0.739232		0.019403		0.437536		0.796400		0.714000		0.776000
0.810236		0.516350		0.323408		0.739232		0.019046		0.437352		0.795200		0.714000		0.777200
0.812759		0.516012		0.340760		0.739232		0.017366		0.437109		0.794000		0.714000		0.775200
0.815642		0.515400		0.321475		0.739232		0.019355		0.436818		0.795600		0.714000		0.775600
0.814201		0.514114		0.319724		0.739232		0.019769		0.436497		0.797200		0.714000		0.777600
0.812759		0.512857		0.319858		0.739232		0.019977		0.436084		0.796800		0.714000		0.776400
0.814381		0.512082		0.321153		0.739232		0.019957		0.435634		0.795200		0.714000		0.777600
0.814922		0.511755		0.324748		0.739232		0.019588		0.435273		0.795200		0.714000		0.780000
0.814561		0.511588		0.333550		0.739232		0.018684		0.435035		0.796000		0.714000		0.780000
0.813480		0.511575		0.338909		0.739232		0.018099		0.434868		0.794800		0.714000		0.777600
0.813480		0.511772		0.329568		0.739232		0.018764		0.434554		0.794800		0.714000		0.778400
0.813660		0.511612		0.325552		0.739232		0.019123		0.434390		0.795200		0.714000		0.778400
0.814381		0.510834		0.324538		0.739232		0.019327		0.434143		0.796000		0.714000		0.778800
0.814021		0.509794		0.325151		0.739232		0.019436		0.433804		0.796000		0.714000		0.778800
0.814741		0.509058		0.327105		0.739232		0.019356		0.433446		0.796400		0.714000		0.779200
0.815102		0.508787		0.330065		0.739232		0.019065		0.433138		0.796000		0.714000		0.779200
0.815102		0.508697		0.332249		0.739232		0.018779		0.432903		0.796000		0.714000		0.780000
0.814021		0.508860		0.331394		0.739232		0.018711		0.432682		0.793600		0.714000		0.779600
0.814381		0.508835		0.328856		0.739232		0.018864		0.432500		0.795200		0.714000		0.778800
0.815282		0.508246		0.326765		0.739232		0.019120		0.432270		0.796000		0.714000		0.779600
0.815102		0.507449		0.325621		0.739232		0.019353		0.431972		0.794400		0.714000		0.780000
0.815642		0.506881		0.325286		0.739232		0.019450		0.431650		0.795600		0.714000		0.780400
0.814561		0.506541		0.325594		0.739232		0.019392		0.431343		0.796400		0.714000		0.779600
0.814922		0.506434		0.326395		0.739232		0.019226		0.431089		0.796400		0.714000		0.779600
0.815282		0.506249		0.327388		0.739232		0.019082		0.430879		0.797600		0.714000		0.780800
0.814741		0.505748		0.327940		0.739232		0.019064		0.430638		0.796000		0.714000		0.780000
0.814021		0.505185		0.327535		0.739232		0.019157		0.430359		0.795600		0.714000		0.779600
0.814922		0.504913		0.326571		0.739232		0.019219		0.430052		0.796400		0.714000		0.779600
0.814922		0.504653		0.325821		0.739232		0.019244		0.429800		0.796000		0.714000		0.780000
0.814561		0.504328		0.325659		0.739232		0.019245		0.429561		0.796800		0.714000		0.780000
0.814922		0.503722		0.326097		0.739232		0.019269		0.429303		0.797600		0.714000		0.780400
0.814741		0.503150		0.326848		0.739232		0.019265		0.429017		0.796400		0.714000		0.780800
